time,rpm,speed
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.8,0,0
0.9,0,0
1,0,0
1.1,0,0
1.2,0,0
1.3,0,0
1.4,0,0
1.5,0,0
1.6,0,0
1.7,0,0
1.8,0,0
1.9,0,0
2,0,0
2.1,0,0
2.2,0,0
2.3,0,0
2.4,0,0
2.5,0,0
2.6,0,0
2.7,0,0
2.8,0,0
2.9,0,0
3,0,0
3.1,0,0
3.2,0,0
3.3,0,0
3.4,0,0
3.5,0,0
3.6,0,0
3.7,0,0
3.8,0,0
3.9,0,0
4,0,0
4.1,0,0
4.2,0,0
4.3,0,0
4.4,0,0
4.5,0,0
4.6,0,0
4.7,0,0
4.8,0,0
4.9,0,0
5,0,0
5.1,0,0
5.2,0,0
5.3,0,0
5.4,0,0
5.5,0,0
5.6,0,0
5.7,0,0
5.8,0,0
5.9,0,0
6,0,0
6.1,0,0
6.2,0,0
6.3,0,0
6.4,0,0
6.5,0,0
6.6,0,0
6.7,0,0
6.8,0,0
6.9,0,0
7,0,0
7.1,0,0
7.2,0,0
7.3,0,0
7.4,0,0
7.5,0,0
7.6,0,0
7.7,0,0
7.8,0,0
7.9,0,0
8,0,0
8.1,0,0
8.2,0,0
8.3,0,0
8.4,0,0
8.5,0,0
8.6,0,0
8.7,0,0
8.8,0,0
8.9,0,0
9,0,0
9.1,0,0
9.2,0,0
9.3,0,0
9.4,0,0
9.5,0,0
9.6,0,0
9.7,0,0
9.8,0,0
9.9,0,0
10,0,0
10.1,0,0
10.2,0,0
10.3,0,0
10.4,0,0
10.5,0,0
10.6,0,0
10.7,0,0
10.8,0,0
10.9,0,0
11,0,0
11.1,0,0
11.2,0,0
11.3,0,0
11.4,0,0
11.5,0,0
11.6,0,0
11.7,0,0
11.8,0,0
11.9,720,0
12,720,0
12.1,720,0
12.2,720,0
12.3,720,0
12.4,720,0
12.5,720,0
12.6,720,0
12.7,720,0
12.8,3000,0
12.9,3000,0
13,3000,0
13.1,3000,0
13.2,3000,0
13.3,3000,0
13.4,3000,0
13.5,3000,5
13.6,3000,5
13.7,3000,5
13.8,3360,5
13.9,3360,5
14,3360,5
14.1,3360,12
14.2,3360,12
14.3,3360,12
14.4,3360,12
14.5,3360,16
14.6,3360,16
14.7,3360,16
14.8,3360,19
14.9,3360,19
15,3360,22
15.1,3360,22
15.2,3360,22
15.3,3360,22
15.4,3360,24
15.5,3360,24
15.6,3360,26
15.7,3360,26
15.8,3600,28
15.9,3600,28
16,3600,28
16.1,3600,29
16.2,3600,29
16.3,3600,29
16.4,3600,29
16.5,3600,29
16.6,3600,29
16.7,3600,29
16.8,360,29
16.9,360,28
17,360,28
17.1,360,28
17.2,360,29
17.3,360,29
17.4,360,29
17.5,360,29
17.6,360,29
17.7,360,29
17.8,120,29
17.9,120,29
18,120,29
18.1,120,28
18.2,120,28
18.3,120,29
18.4,120,29
18.5,120,29
18.6,120,29
18.7,120,29
18.8,0,28
18.9,0,28
19,0,28
19.1,0,28
19.2,0,28
19.3,0,28
19.4,0,28
19.5,0,28
19.6,0,14
19.7,0,14
19.8,0,28
19.9,0,28
20,0,28
20.1,0,28
20.2,0,28
20.3,0,28
20.4,0,28
20.5,0,28
20.6,0,28
20.7,0,28
20.8,0,28
20.9,0,28
21,0,13
21.1,0,13
21.2,0,13
21.3,0,28
21.4,0,28
21.5,0,28
21.6,0,28
21.7,0,27
21.8,0,27
21.9,0,27
22,0,27
22.1,0,27
22.2,0,27
22.3,0,27
22.4,0,27
22.5,0,27
22.6,0,27
22.7,0,27
22.8,0,27
22.9,0,27
23,0,27
23.1,0,27
23.2,0,27
23.3,0,27
23.4,0,13
23.5,0,13
23.6,0,27
23.7,0,27
23.8,0,26
23.9,0,26
24,0,27
24.1,0,27
24.2,0,27
24.3,0,27
24.4,0,27
24.5,0,27
24.6,0,26
24.7,0,26
24.8,0,26
24.9,0,26
25,0,26
25.1,0,26
25.2,0,26
25.3,0,26
25.4,0,26
25.5,0,26
25.6,0,26
25.7,0,26
25.8,0,26
25.9,0,26
26,0,25
26.1,0,25
26.2,0,26
26.3,0,26
26.4,0,26
26.5,0,26
26.6,0,26
26.7,0,26
26.8,0,26
26.9,0,26
27,0,26
27.1,0,26
27.2,0,26
27.3,0,25
27.4,0,25
27.5,0,26
27.6,0,26
27.7,0,26
27.8,0,26
27.9,0,26
28,0,26
28.1,0,26
28.2,0,26
28.3,0,26
28.4,0,26
28.5,0,26
28.6,0,26
28.7,0,26
28.8,0,25
28.9,0,25
29,0,25
29.1,0,25
29.2,0,25
29.3,0,25
29.4,0,25
29.5,0,25
29.6,0,25
29.7,0,25
29.8,0,25
29.9,0,25
30,0,25
30.1,0,25
30.2,0,25
30.3,0,25
30.4,0,25
30.5,0,25
30.6,0,25
30.7,0,25
30.8,0,25
30.9,0,25
31,0,25
31.1,0,12
31.2,0,12
31.3,0,25
31.4,0,25
31.5,0,25
31.6,0,25
31.7,0,25
31.8,0,25
31.9,0,25
32,0,25
32.1,0,25
32.2,0,25
32.3,0,25
32.4,0,25
32.5,0,25
32.6,0,25
32.7,0,25
32.8,0,25
32.9,0,25
33,0,24
33.1,0,24
33.2,0,24
33.3,0,24
33.4,0,24
33.5,0,24
33.6,0,24
33.7,0,24
33.8,0,24
33.9,0,11
34,0,11
34.1,0,11
34.2,0,24
34.3,0,24
34.4,0,24
34.5,0,24
34.6,0,24
34.7,0,24
34.8,0,23
34.9,0,23
35,0,24
35.1,0,24
35.2,0,24
35.3,0,24
35.4,0,24
35.5,0,24
35.6,0,24
35.7,0,24
35.8,0,24
35.9,0,24
36,0,24
36.1,0,23
36.2,0,23
36.3,0,23
36.4,0,23
36.5,0,23
36.6,0,24
36.7,0,24
36.8,0,24
36.9,0,23
37,0,23
37.1,0,23
37.2,0,23
37.3,0,23
37.4,0,23
37.5,0,23
37.6,0,23
37.7,0,23
37.8,0,23
37.9,0,23
38,0,23
38.1,0,23
38.2,0,23
38.3,0,23
38.4,0,23
38.5,0,23
38.6,0,23
38.7,0,23
38.8,0,23
38.9,0,23
39,0,23
39.1,0,23
39.2,0,23
39.3,0,23
39.4,0,23
39.5,0,23
39.6,0,23
39.7,0,23
39.8,0,23
39.9,0,23
40,0,23
40.1,0,23
40.2,0,23
40.3,0,23
40.4,0,23
40.5,0,23
40.6,0,23
40.7,0,22
40.8,0,22
40.9,0,22
41,0,22
41.1,0,23
41.2,0,23
41.3,0,23
41.4,0,23
41.5,0,23
41.6,0,23
41.7,0,23
41.8,0,23
41.9,0,23
42,0,23
42.1,0,23
42.2,0,23
42.3,0,23
42.4,0,23
42.5,0,23
42.6,0,23
42.7,0,23
42.8,0,23
42.9,0,23
43,0,23
43.1,0,23
43.2,0,23
43.3,0,22
43.4,0,22
43.5,0,22
43.6,0,22
43.7,0,22
43.8,0,22
43.9,0,22
44,0,22
44.1,0,22
44.2,0,22
44.3,0,22
44.4,0,22
44.5,0,22
44.6,0,22
44.7,0,22
44.8,0,22
44.9,0,22
45,0,22
45.1,0,22
45.2,0,22
45.3,0,22
45.4,0,22
45.5,0,22
45.6,240,22
45.7,240,22
45.8,240,22
45.9,240,22
46,240,22
46.1,240,22
46.2,240,21
46.3,240,21
46.4,240,22
46.5,240,22
46.6,2520,22
46.7,2520,22
46.8,2520,23
46.9,2520,23
47,2520,25
47.1,2520,25
47.2,2520,25
47.3,2520,27
47.4,2520,27
47.5,2520,28
47.6,4200,28
47.7,4200,28
47.8,4200,31
47.9,4200,31
48,4200,33
48.1,4200,33
48.2,4200,33
48.3,4200,34
48.4,4200,35
48.5,4200,35
48.6,3240,35
48.7,3240,35
48.8,3240,35
48.9,3240,35
49,3240,35
49.1,3240,35
49.2,3240,35
49.3,3240,35
49.4,3240,35
49.5,3240,35
49.6,840,35
49.7,840,35
49.8,840,35
49.9,840,35
50,840,35
50.1,840,35
50.2,840,35
50.3,840,35
50.4,840,35
50.5,840,34
50.6,120,34
50.7,120,34
50.8,120,34
50.9,120,34
51,120,34
51.1,120,34
51.2,120,34
51.3,120,34
51.4,120,34
51.5,120,34
51.6,0,34
51.7,0,34
51.8,0,34
51.9,0,34
52,0,34
52.1,0,34
52.2,0,34
52.3,0,34
52.4,0,34
52.5,0,34
52.6,0,34
52.7,0,34
52.8,0,34
52.9,0,34
53,0,34
53.1,0,33
53.2,0,33
53.3,0,33
53.4,0,33
53.5,0,33
53.6,0,33
53.7,0,33
53.8,0,33
53.9,0,33
54,0,33
54.1,0,33
54.2,0,33
54.3,0,33
54.4,0,33
54.5,0,33
54.6,0,33
54.7,0,33
54.8,0,33
54.9,0,33
55,0,33
55.1,0,33
55.2,0,33
55.3,0,32
55.4,0,32
55.5,0,32
55.6,0,32
55.7,0,32
55.8,0,32
55.9,0,32
56,0,32
56.1,0,32
56.2,0,32
56.3,0,32
56.4,0,32
56.5,0,32
56.6,0,32
56.7,0,31
56.8,0,31
56.9,0,31
57,0,15
57.1,0,15
57.2,0,15
57.3,0,32
57.4,0,32
57.5,0,32
57.6,0,32
57.7,0,32
57.8,0,32
57.9,0,32
58,0,32
58.1,0,32
58.2,0,32
58.3,0,32
58.4,0,32
58.5,0,32
58.6,0,32
58.7,0,31
58.8,0,31
58.9,0,31
59,0,31
59.1,0,31
59.2,0,31
59.3,0,31
59.4,0,31
59.5,0,31
59.6,0,31
59.7,0,31
59.8,0,31
59.9,0,31
60,0,31
60.1,0,31
60.2,0,31
60.3,0,31
60.4,0,15
60.5,0,31
60.6,0,31
60.7,0,31
60.8,0,31
60.9,0,31
61,0,31
61.1,0,31
61.2,0,31
61.3,0,31
61.4,0,31
61.5,0,31
61.6,0,31
61.7,0,31
61.8,0,31
61.9,0,31
62,0,15
62.1,0,15
62.2,0,15
62.3,0,15
62.4,0,30
62.5,0,30
62.6,0,30
62.7,0,30
62.8,0,30
62.9,0,30
63,0,30
63.1,0,30
63.2,0,30
63.3,0,30
63.4,0,30
63.5,0,30
63.6,0,30
63.7,0,30
63.8,0,30
63.9,0,30
64,0,30
64.1,0,30
64.2,0,30
64.3,0,30
64.4,0,30
64.5,0,30
64.6,0,30
64.7,0,30
64.8,0,29
64.9,0,29
65,0,29
65.1,0,29
65.2,0,29
65.3,0,29
65.4,0,29
65.5,0,29
65.6,0,29
65.7,0,29
65.8,0,29
65.9,0,29
66,0,29
66.1,0,29
66.2,0,29
66.3,0,29
66.4,0,29
66.5,0,29
66.6,0,29
66.7,0,29
66.8,0,29
66.9,0,29
67,0,29
67.1,0,29
67.2,0,29
